alertType,junctionName,coordinates_long,coordinates_lat,vehicleType,observationDateTime,junction_risk_score,vehicle_risk_score,hour,day_of_week,month,is_weekend,is_peak_hour,is_night,hour_sin,hour_cos,day_sin,day_cos,junctionName_encoded,vehicleType_encoded,alertType_encoded,coords_long_scaled,coords_lat_scaled
SPEED_VIOLATION,Silk-board-junction,77.6215632103839,12.916363152560953,Truck,2024-01-01 00:55:00,0.95,0.4,0,0,1,0,0,1,0.0,1.0,0.0,1.0,6,4,1,-0.13931519450231558,-0.7153357068210109
RED_LIGHT_VIOLATION,Silk-board-junction,77.62234971667736,12.917385076196505,Motorbike,2024-01-01 02:25:00,0.95,0.8,2,0,1,0,0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,6,3,0,-0.1211773655544095,-0.6949913293599064
RED_LIGHT_VIOLATION,Silk-board-junction,77.62385338994392,12.917360627398017,Auto,2024-01-01 03:31:00,0.95,0.6,3,0,1,0,0,1,0.7071067811865476,0.7071067811865476,0.0,1.0,6,0,0,-0.08650076000286334,-0.6954780541675196
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61204519769524,12.93341875652655,Car,2024-01-01 04:19:00,0.8,0.5,4,0,1,0,0,1,0.8660254037844386,0.5000000000000001,0.0,1.0,4,2,0,-0.3588125939575903,-0.375794049468242
RED_LIGHT_VIOLATION,Hebbal-flyover,77.5924958615824,13.036001204181598,Auto,2024-01-01 04:24:00,0.85,0.6,4,0,1,0,0,1,0.8660254037844386,0.5000000000000001,0.0,1.0,1,0,0,-0.8096449870428085,1.666409461023533
RED_LIGHT_VIOLATION,Silk-board-junction,77.6222847397351,12.917676644570037,Auto,2024-01-01 05:37:00,0.95,0.6,5,0,1,0,0,1,0.9659258262890683,0.25881904510252074,0.0,1.0,6,0,0,-0.12267581594728152,-0.6891868085126575
WRONG_WAY,Koramangala-5thblock,77.61151150639711,12.935118242956417,Auto,2024-01-01 05:38:00,0.8,0.6,5,0,1,0,0,1,0.9659258262890683,0.25881904510252074,0.0,1.0,4,0,2,-0.3711201896588615,-0.34196080379663224
SPEED_VIOLATION,Hebbal-flyover,77.59316663607763,13.03515208880692,Bus,2024-01-01 06:51:00,0.85,0.3,6,0,1,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,1,1,1,-0.7941760795998682,1.6495053371834234
RED_LIGHT_VIOLATION,MG-Road-brigade,77.60459643578602,12.97530047174907,Motorbike,2024-01-01 07:03:00,0.9,0.8,7,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,5,3,0,-0.5305904557566951,0.45798392920177666
RED_LIGHT_VIOLATION,Hebbal-flyover,77.5917029902921,13.03468289601981,Truck,2024-01-01 07:05:00,0.85,0.4,7,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,1,4,0,-0.8279296008604774,1.6401646831160255
SPEED_VIOLATION,Koramangala-5thblock,77.61160024115527,12.935451919015597,Car,2024-01-01 07:08:00,0.8,0.5,7,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,4,2,1,-0.3690738540113181,-0.3353180063687992
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59232823239832,13.036359306203735,Truck,2024-01-01 07:28:00,0.85,0.4,7,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,1,4,0,-0.8135107278423133,1.6735385286509812
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59157570781002,13.033671938901314,Car,2024-01-01 07:46:00,0.85,0.5,7,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,1,2,0,-0.8308648957300389,1.620038626236483
RED_LIGHT_VIOLATION,Silk-board-junction,77.62146761954938,12.91729977901273,Motorbike,2024-01-01 08:03:00,0.95,0.8,8,0,1,0,1,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,6,3,0,-0.14151963993383831,-0.6966894191610558
SPEED_VIOLATION,JPnagar-8thmain-9thcross,77.59647006817839,12.911124657251182,Auto,2024-01-01 08:03:00,0.7,0.6,8,0,1,0,1,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,3,0,1,-0.7179947611762312,-0.819623270199123
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59200631442046,13.036239807135733,Bus,2024-01-01 08:22:00,0.85,0.3,8,0,1,0,1,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,1,1,0,-0.820934563183663,1.6711595503583574
RED_LIGHT_VIOLATION,Whitefield-main-road,77.75118541423909,12.970430774025177,Truck,2024-01-01 09:24:00,0.5,0.4,9,0,1,0,1,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,7,4,0,2.8499366155711665,0.3610383599148006
SPEED_VIOLATION,Indiranagar-100ft-road,77.64363221774373,12.977706389385846,Truck,2024-01-01 09:27:00,0.75,0.4,9,0,1,0,1,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,2,4,1,0.36962400136725404,0.5058807532305621
SPEED_VIOLATION,MG-Road-brigade,77.60429819321575,12.975351352383012,Car,2024-01-01 09:28:00,0.9,0.5,9,0,1,0,1,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,5,2,1,-0.5374683062830389,0.45899685696500653
RED_LIGHT_VIOLATION,Electronic-city-toll,77.67022761130215,12.839528833118594,Bus,2024-01-01 09:59:00,0.4,0.3,9,0,1,0,1,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,0,1,0,0.9829473824675208,-2.2449474530631397
RED_LIGHT_VIOLATION,Silk-board-junction,77.62200802243159,12.916698099331896,Car,2024-01-01 10:15:00,0.95,0.5,10,0,1,0,1,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,6,2,0,-0.12905726662304934,-0.7086676121607245
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61216085052845,12.9349036057063,Truck,2024-01-01 11:03:00,0.8,0.4,11,0,1,0,0,0,0.258819045102521,-0.9659258262890682,0.0,1.0,4,4,0,-0.3561454934859973,-0.3462337857315708
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.64140286951356,12.977699860281891,Auto,2024-01-01 11:12:00,0.75,0.6,11,0,1,0,0,0,0.258819045102521,-0.9659258262890682,0.0,1.0,2,0,0,0.31821241419986745,0.5057507723291429
SPEED_VIOLATION,Koramangala-5thblock,77.61223518032534,12.93713011067993,Car,2024-01-01 11:25:00,0.8,0.5,11,0,1,0,0,0,0.258819045102521,-0.9659258262890682,0.0,1.0,4,2,1,-0.3544313544474532,-0.3019086952583253
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59453464362969,12.908621216539451,Motorbike,2024-01-01 11:49:00,0.7,0.8,11,0,1,0,0,0,0.258819045102521,-0.9659258262890682,0.0,1.0,3,3,0,-0.7626280968502692,-0.8694615761342368
SPEED_VIOLATION,Silk-board-junction,77.62435506379863,12.91704656949042,Truck,2024-01-01 12:07:00,0.95,0.4,12,0,1,0,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,6,4,1,-0.07493152700366189,-0.7017302949363091
SPEED_VIOLATION,Whitefield-main-road,77.74980133990942,12.9692549761149,Car,2024-01-01 12:36:00,0.5,0.5,12,0,1,0,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,7,2,1,2.81801811262821,0.3376306651786606
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.6396514652778,12.97814680142329,Auto,2024-01-01 12:51:00,0.75,0.6,12,0,1,0,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,2,0,0,0.27782281946831894,0.5146484423381019
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.5952961600114,12.911083641203572,Truck,2024-01-01 12:53:00,0.7,0.4,12,0,1,0,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,3,4,0,-0.745066566844306,-0.8204398145332847
SPEED_VIOLATION,JPnagar-8thmain-9thcross,77.59637677365826,12.909034365515016,Truck,2024-01-01 13:09:00,0.7,0.4,13,0,1,0,0,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,3,4,1,-0.7201462506962778,-0.8612366379743408
SPEED_VIOLATION,Electronic-city-toll,77.66841508181682,12.839308068178545,Car,2024-01-01 13:19:00,0.4,0.5,13,0,1,0,0,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0,2,1,0.941148162243634,-2.249342424579894
